meaning,output_VSO,output_VOS,meaning_type
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE NONE NONE,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_1 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE NONE NONE,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_2 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE NONE NONE,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_3 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_2 NONE NONE NONE,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_2 mk,Verb_4 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_2 NONE NONE NONE,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_2 Animate_2 mk,Verb_1 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_2 NONE NONE NONE,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_2 Animate_2 mk,Verb_2 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_2 NONE NONE NONE,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_2 Animate_2 mk,Verb_3 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_2 ANIMATE_2 NONE NONE NONE,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_2 Animate_2 mk,Verb_4 Animate_2 mk Animate_1 Adposition_1 Adjective_1 Inanimate_2,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_2 NONE NONE NONE,Verb_1 Animate_1 Adposition_1 Adjective_2 Inanimate_1 Animate_2 mk,Verb_1 Animate_2 mk Animate_1 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_2 INANIMATE_1 ANIMATE_2 NONE NONE NONE,Verb_2 Animate_1 Adposition_1 Adjective_2 Inanimate_1 Animate_2 mk,Verb_2 Animate_2 mk Animate_1 Adposition_1 Adjective_2 Inanimate_1,initial_subject_modified
